"filename", "language", "Markdown", "Makefile", "TOML", "Properties", "Python", "JSON", "TypeScript", "JSON with Comments", "CSS", "JavaScript", "TypeScript JSX", "Ini", "comment", "blank", "total"
"/Users/leodube/repos/FPLTinker/models/tests/test_fixture_stats.py", "Python", 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 2, 22, 206
"/Users/leodube/repos/FPLTinker/models/tests/test_gameweek.py", "Python", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 2, 15, 91
"/Users/leodube/repos/FPLTinker/models/tests/test_player.py", "Python", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 2, 17, 121
"/Users/leodube/repos/FPLTinker/models/tests/test_player_stats.py", "Python", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 2, 16, 122
"/Users/leodube/repos/FPLTinker/models/tests/test_position.py", "Python", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 2, 15, 88
"/Users/leodube/repos/FPLTinker/models/tests/test_stat_details.py", "Python", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 2, 15, 87
"/Users/leodube/repos/FPLTinker/models/tests/test_team.py", "Python", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 2, 15, 88
"/Users/leodube/repos/FPLTinker/models/tests/test_tinker.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leodube/repos/FPLTinker/models/tests/test_weighting.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/leodube/repos/FPLTinker/web/.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/leodube/repos/FPLTinker/web/README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/Users/leodube/repos/FPLTinker/web/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 5, 34
"/Users/leodube/repos/FPLTinker/web/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"/Users/leodube/repos/FPLTinker/web/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"/Users/leodube/repos/FPLTinker/web/next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 5
"/Users/leodube/repos/FPLTinker/web/package-lock.json", "JSON", 0, 0, 0, 0, 0, 5251, 0, 0, 0, 0, 0, 0, 0, 1, 5252
"/Users/leodube/repos/FPLTinker/web/package.json", "JSON", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"/Users/leodube/repos/FPLTinker/web/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 2, 9
"/Users/leodube/repos/FPLTinker/web/tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/leodube/repos/FPLTinker/web/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 59, 95, 3179, 46, 3813, 5277, 19, 29, 29, 8, 19, 38, 253, 1250, 14114
